Order,Division ID,Division Name,Teams Assigned
1,803741,55+ Division - 2017 Regular Season,4
2,807626,55+ Division - 2017 Playoffs,3
4,819879,55+ Division - 2018 Regular Season,4
5,832601,55+ Division - 2018 Playoffs,4
6,847353,55+ Division - 2019 Regular Season,4
7,847354,55+ Division - 2019 Playoffs,4
8,872194,55+ Division - 2021 Regular Season,3
9,1008629,55+ Division - 2021 Playoffs,5
10,1018487,55+ Division - 2022 Regular Season,4
11,1025897,55+ Division - 2022 Playoffs,6
12,1030445,55+ Division - 2023 Regular Season,4
13,1039489,55+ Division - 2023 Playoffs,4
14,1042845,55+ Division - 2024 Regular Season,4
15,1042858,55+ Division - 2024 Playoffs,5
16,1054608,55+ Division - 2025 Regular Season,4
17,1054609,55+ Division - 2025 Playoffs,4
18,1064719,55+ Division - 2026 Regular Season,6
