game_id,inning,home_runs,away_runs
23992270,1,1,4
23992270,2,0,3
23992270,3,0,0
23992270,4,3,2
23992270,5,0,0
23992270,6,6,6
23992270,7,4,2
23992270,8,2,0
23992334,1,1,1
23992334,2,0,2
23992334,3,1,0
23992334,4,0,4
23992334,5,2,0
23992334,6,0,0
23992334,7,0,0
23992334,8,0,3
23992334,9,4,0
24119621,1,1,0
24119621,2,0,1
24119621,3,4,2
24119621,4,1,2
24119621,5,0,6
24119621,6,0,1
24119621,7,3,0
24119621,8,6,0
24119621,9,0,0
24119732,1,4,0
24119732,2,1,2
24119732,3,5,0
24119732,4,0,0
24119732,5,2,0
24119732,6,1,1
24119732,7,1,0
24119732,8,1,1
24119732,9,1,1
25253622,1,2,1
25253622,2,0,1
25253622,3,0,2
25253622,4,3,0
25253622,5,1,0
25253622,6,0,2
25253622,7,3,0
25253622,8,0,1
25253682,1,4,3
25253682,2,2,1
25253682,3,6,0
25253682,4,1,0
25253682,5,4,0
25253682,6,2,1
25253682,7,0,2
25253683,1,3,6
25253683,2,5,0
25253683,3,0,0
25253683,4,3,2
25253683,5,1,1
25253683,6,0,4
25253683,7,1,7
25253625,1,1,0
25253625,2,0,0
25253625,3,6,0
25253625,4,2,3
25253625,5,0,0
25253625,6,0,0
25253625,7,0,2
25253625,8,0,0
25253625,9,0,0
25253684,1,0,0
25253684,2,0,0
25253684,3,4,3
25253684,4,1,5
25253684,5,2,0
25253684,6,0,3
25253684,7,2,0
25253626,1,0,3
25253626,2,5,3
25253626,3,3,0
25253626,4,6,0
25253626,5,2,0
25253626,6,0,0
25253626,7,0,1
25253626,8,0,3
25253685,1,2,1
25253685,2,0,2
25253685,3,2,0
25253685,4,1,0
25253685,5,0,3
25253685,6,2,3
25253685,7,0,4
25253685,8,0,0
25253685,9,0,0
25253734,1,1,0
25253734,2,1,0
25253734,3,3,0
25253734,4,0,0
25253734,5,0,3
25253734,6,0,0
25253734,7,6,0
25253734,8,2,0
25253627,1,1,2
25253627,2,2,0
25253627,3,0,1
25253627,4,4,0
25253627,5,4,1
25253627,6,0,0
25253627,7,2,1
25253627,8,1,0
25253627,9,0,0
25253687,1,1,0
25253687,2,0,0
25253687,3,3,0
25253687,4,0,3
25253687,5,0,0
25253687,6,1,0
25253687,7,0,0
25253687,8,5,0
25253687,9,0,0
25253630,1,1,1
25253630,2,0,0
25253630,3,3,2
25253630,4,0,0
25253630,5,0,6
25253630,6,2,5
25253630,7,6,2
25253735,1,2,2
25253735,2,3,0
25253735,3,0,6
25253735,4,4,2
25253735,5,0,6
25253735,6,1,6
25253735,7,1,2
25253631,1,0,5
25253631,2,1,0
25253631,3,0,1
25253631,4,0,0
25253631,5,2,1
25253631,6,0,1
25253631,7,0,0
25253631,8,3,2
25253631,9,0,2
25253688,1,0,1
25253688,2,0,1
25253688,3,5,0
25253688,4,0,5
25253688,5,1,0
25253688,6,3,0
25253688,7,0,0
25253688,8,4,4
25253688,9,0,0
25253689,1,2,0
25253689,2,1,0
25253689,3,0,6
25253689,4,6,0
25253689,5,6,0
25253689,6,0,2
25253689,7,0,0
25253632,1,1,3
25253632,2,3,0
25253632,3,2,0
25253632,4,2,2
25253632,5,4,1
25253632,6,1,0
25253632,7,4,0
25253632,8,0,2
25253633,1,1,0
25253633,2,0,1
25253633,3,0,0
25253633,4,0,1
25253633,5,1,0
25253633,6,6,1
25253633,7,0,2
25253633,8,2,0
25253633,9,0,1
25253635,1,0,1
25253635,2,1,6
25253635,3,1,3
25253635,4,0,5
25253635,5,0,1
25253635,6,0,0
25253635,7,1,0
25253691,1,3,1
25253691,2,0,1
25253691,3,0,1
25253691,4,4,4
25253691,5,0,1
25253691,6,0,6
25253691,7,0,0
25253691,8,5,0
25253645,1,2,0
25253645,2,1,0
25253645,3,0,0
25253645,4,0,0
25253645,5,0,0
25253645,6,2,0
25253645,7,0,0
25253645,8,2,0
25253645,9,0,1
25253737,1,1,1
25253737,2,0,1
25253737,3,1,6
25253737,4,1,6
25253737,5,1,0
25253737,6,1,0
25253737,7,0,0
25501861,1,1,2
25501861,2,3,0
25501861,3,1,2
25501861,4,0,3
25501861,5,0,1
25501861,6,0,1
25501861,7,1,0
25501861,8,3,0
25501861,9,0,0
25501861,10,0,1
25501860,1,3,0
25501860,2,0,2
25501860,3,1,0
25501860,4,0,0
25501860,5,1,5
25501860,6,2,2
25501860,7,0,0
25501860,8,0,2
25501860,9,0,5
25563743,1,4,3
25563743,2,1,0
25563743,3,3,6
25563743,4,0,4
25563743,5,0,0
25563743,6,5,3
25563743,7,0,0
25563743,8,2,0
25563743,9,0,0
26362305,1,1,1
26362305,2,0,0
26362305,3,0,0
26362305,4,0,4
26362305,5,1,1
26362305,6,0,0
26362305,7,1,2
26362305,8,0,2
26362306,1,0,2
26362306,2,2,1
26362306,3,3,0
26362306,4,0,0
26362306,5,2,2
26362306,6,0,2
26362306,7,1,0
26362310,1,3,0
26362310,2,4,2
26362310,3,2,2
26362310,4,4,3
26362310,5,1,0
26362310,6,2,0
26362310,7,0,5
26362311,1,0,2
26362311,2,2,0
26362311,3,0,0
26362311,4,1,6
26362311,5,0,3
26362311,6,2,0
26362311,7,0,3
26362311,8,0,0
26362322,1,2,1
26362322,2,0,0
26362322,3,1,0
26362322,4,1,3
26362322,5,1,1
26362322,6,0,0
26362321,1,0,5
26362321,2,0,1
26362321,3,0,0
26362321,4,1,5
26362321,5,0,1
26362321,6,0,1
26362326,1,0,0
26362326,2,0,2
26362326,3,0,0
26362326,4,1,2
26362326,5,0,0
26362326,6,0,0
26362326,7,6,0
26362326,8,4,1
26362326,9,0,0
26362325,1,0,0
26362325,2,0,1
26362325,3,0,1
26362325,4,1,2
26362325,5,5,0
26362325,6,2,0
26362325,7,3,6
26362325,8,0,0
26362335,1,1,6
26362335,2,0,2
26362335,3,2,0
26362335,4,0,2
26362335,5,0,1
26362335,6,3,2
26362335,7,1,6
26362336,1,2,1
26362336,2,1,4
26362336,3,6,1
26362336,4,1,3
26362336,5,3,0
26362336,6,0,3
26362336,7,1,2
26362336,8,2,1
26362338,1,0,1
26362338,2,1,3
26362338,3,0,1
26362338,4,0,1
26362338,5,5,0
26362338,6,2,3
26362338,7,0,0
26362338,8,0,0
26362345,1,3,2
26362345,2,6,0
26362345,3,4,0
26362345,4,0,0
26362345,5,3,1
26362345,6,4,2
26362344,1,0,0
26362344,2,0,2
26362344,3,0,1
26362344,4,0,0
26362344,5,2,2
26362344,6,1,4
26362344,7,7,0
26362348,1,3,3
26362348,2,4,1
26362348,3,1,4
26362348,4,6,0
26362348,5,1,1
26362348,6,2,6
26362348,7,2,3
26362349,1,1,4
26362349,2,0,4
26362349,3,0,0
26362349,4,4,2
26362349,5,0,1
26362349,6,0,4
26362349,7,5,3
26362358,1,6,0
26362358,2,6,0
26362358,3,0,1
26362358,4,0,0
26362358,5,1,0
26362358,6,4,0
26362358,7,0,0
26362357,1,0,1
26362357,2,1,0
26362357,3,1,6
26362357,4,2,0
26362357,5,0,6
26362357,6,0,2
26362357,7,1,3
26362357,8,1,1
26362364,1,4,3
26362364,2,0,0
26362364,3,0,1
26362364,4,1,0
26362364,5,0,1
26362364,6,1,1
26362364,7,0,0
26362364,8,0,2
26362364,9,0,2
26362366,1,3,1
26362366,2,1,1
26362366,3,2,1
26362366,4,2,5
26362366,5,0,2
26362366,6,1,4
26362366,7,0,2
26362366,8,0,2
26362367,1,2,4
26362367,2,0,1
26362367,3,4,3
26362367,4,0,0
26362367,5,0,2
26362367,6,3,3
26362367,7,0,0
26362367,8,0,2
26362368,1,1,5
26362368,2,0,1
26362368,3,0,5
26362368,4,1,2
26362368,5,0,2
26362368,6,1,1
26362368,7,4,0
26362368,8,0,2
26362368,9,3,5
26362369,1,2,2
26362369,2,4,4
26362369,3,2,2
26362369,4,1,5
26362369,5,2,0
26362369,6,2,6
26362380,1,1,1
26362380,2,0,0
26362380,3,0,0
26362380,4,1,0
26362380,5,4,0
26362380,6,4,0
26362380,7,5,0
26362380,8,0,3
26362379,1,0,0
26362379,2,1,1
26362379,3,4,0
26362379,4,2,1
26362379,5,0,0
26362379,6,1,2
26362379,7,1,0
26362379,8,5,1
26722167,1,6,0
26722167,2,0,0
26722167,3,6,0
26722167,4,0,3
26722167,5,0,0
26722167,6,4,2
26722167,7,2,0
26722167,8,0,2
26722167,9,0,0
28172207,1,0,0
28172207,2,0,0
28172207,3,5,0
28172207,4,0,0
28172207,5,2,1
28172207,6,0,4
28172208,1,5,0
28172208,2,0,1
28172208,3,2,0
28172208,4,3,0
28172208,5,0,0
28172208,6,0,0
28172210,1,1,1
28172210,2,0,0
28172210,3,1,1
28172210,4,1,0
28172210,5,2,4
28172210,6,2,0
28172212,1,0,2
28172212,2,0,1
28172212,3,0,5
28172212,4,1,0
28172212,5,0,5
28172212,6,1,4
28172228,1,1,0
28172228,2,5,1
28172228,3,0,0
28172228,4,0,2
28172228,5,0,0
28172228,6,0,0
28172233,1,0,1
28172233,2,0,0
28172233,3,2,3
28172233,4,2,0
28172233,5,0,2
28172233,6,0,0
28172235,1,1,2
28172235,2,4,1
28172235,3,4,0
28172235,4,0,0
28172235,5,2,5
28172235,6,0,1
28172237,1,0,0
28172237,2,1,1
28172237,3,5,1
28172237,4,1,4
28172237,5,5,2
28172237,6,0,0
28172238,1,3,1
28172238,2,0,1
28172238,3,0,0
28172238,4,0,0
28172238,5,2,0
28172238,6,0,1
28172243,1,3,1
28172243,2,0,0
28172243,3,2,2
28172243,4,4,0
28172243,5,1,1
28172243,6,0,0
28172252,1,0,1
28172252,2,2,0
28172252,3,0,1
28172252,4,0,2
28172252,5,0,0
28172252,6,0,0
28172255,1,0,1
28172255,2,0,0
28172255,3,0,0
28172255,4,0,0
28172255,5,2,0
28172255,6,0,0
28172258,1,4,1
28172258,2,5,1
28172258,3,0,1
28172258,4,3,2
28172258,5,1,0
28172258,6,0,2
28172261,1,0,3
28172261,2,0,0
28172261,3,5,2
28172261,4,1,5
28172261,5,2,5
28172261,6,0,0
28172262,1,1,0
28172262,2,0,0
28172262,3,1,4
28172262,4,0,0
28172262,5,0,0
28172262,6,0,2
28172265,1,3,0
28172265,2,0,1
28172265,3,2,0
28172265,4,3,1
28172265,5,0,0
28172265,6,0,0
28172268,1,0,1
28172268,2,0,1
28172268,3,3,0
28172268,4,0,0
28172268,5,1,0
28172268,6,0,0
28172269,1,1,2
28172269,2,5,0
28172269,3,0,0
28172269,4,5,1
28172269,5,0,4
28172269,6,0,0
28172272,1,0,0
28172272,2,4,0
28172272,3,2,0
28172272,4,0,0
28172272,5,2,3
28172272,6,0,1
28172273,1,2,0
28172273,2,0,0
28172273,3,2,4
28172273,4,2,0
28172273,5,0,0
28172273,6,1,4
28172307,1,5,0
28172307,2,0,0
28172307,3,1,0
28172307,4,0,3
28172307,5,0,0
28172307,6,0,0
28172307,7,0,0
28172307,8,4,0
28172307,9,0,2
28172308,1,2,0
28172308,2,0,0
28172308,3,1,3
28172308,4,0,0
28172308,5,2,0
28172308,6,0,0
28172308,7,1,2
28172308,8,5,0
28172308,9,0,0
28717538,1,0,4
28717538,2,0,0
28717538,3,3,0
28717538,4,0,0
28717538,5,0,0
28717538,6,0,3
28717538,7,1,5
28717538,8,0,0
28717609,1,2,0
28717609,2,1,1
28717609,3,3,5
28717609,4,0,1
28717609,5,4,5
28717609,6,0,0
28717609,7,3,3
28717609,8,1,1
28717539,1,0,3
28717539,2,0,4
28717539,3,0,0
28717539,4,0,3
28717539,5,3,1
28717539,6,2,0
28717539,7,2,0
28717570,1,3,1
28717570,2,0,2
28717570,3,4,1
28717570,4,0,0
28717570,5,0,2
28717570,6,0,0
28717571,1,4,1
28717571,2,5,2
28717571,3,2,0
28717571,4,0,0
28717571,5,4,1
28717571,6,5,4
28717571,7,3,2
28717540,1,3,0
28717540,2,0,2
28717540,3,0,0
28717540,4,1,0
28717540,5,1,2
28717540,6,0,0
28717540,7,2,1
28717540,8,2,0
28717540,9,0,1
28717541,1,5,2
28717541,2,5,0
28717541,3,1,1
28717541,4,2,0
28717541,5,0,0
28717541,6,4,0
28717541,7,4,2
28717599,1,3,0
28717599,2,0,2
28717599,3,3,1
28717599,4,4,3
28717599,5,4,3
28717599,6,2,0
28717599,7,3,4
28717572,1,1,4
28717572,2,0,0
28717572,3,3,1
28717572,4,2,0
28717572,5,0,0
28717572,6,4,2
28717542,1,0,3
28717542,2,0,0
28717542,3,0,0
28717542,4,4,3
28717542,5,0,5
28717542,6,0,1
28717573,1,2,1
28717573,2,0,1
28717573,3,0,3
28717573,4,0,0
28717573,5,3,0
28717573,6,2,0
28717573,7,3,8
28717543,1,1,1
28717543,2,0,1
28717543,3,0,1
28717543,4,1,0
28717543,5,0,0
28717543,6,0,0
28717543,7,4,0
28717543,8,3,1
28717543,9,0,6
28717600,1,0,3
28717600,2,2,0
28717600,3,0,3
28717600,4,0,3
28717600,5,2,4
28717600,6,3,0
28717600,7,0,0
28717600,8,0,0
28717600,9,0,0
28717544,1,3,3
28717544,2,3,0
28717544,3,0,0
28717544,4,2,1
28717544,5,5,0
28717544,6,4,0
28717544,7,1,1
28717544,8,1,0
28717544,9,0,1
28717545,1,3,5
28717545,2,0,0
28717545,3,1,5
28717545,4,0,0
28717545,5,1,0
28717545,6,0,2
28717545,7,0,0
28717545,8,5,10
28717574,1,0,2
28717574,2,4,0
28717574,3,2,0
28717574,4,0,1
28717574,5,5,1
28717574,6,0,0
28717574,7,0,0
28717546,1,5,0
28717546,2,0,0
28717546,3,2,1
28717546,4,0,0
28717546,5,0,2
28717546,6,5,0
28717546,7,2,0
28717546,8,0,0
28717575,1,1,4
28717575,2,2,0
28717575,3,3,2
28717575,4,2,0
28717575,5,0,4
28717575,6,4,5
28717575,7,1,0
28717547,1,4,2
28717547,2,0,0
28717547,3,0,3
28717547,4,0,0
28717547,5,0,0
28717547,6,0,1
28717547,7,1,4
28717576,1,1,2
28717576,2,1,1
28717576,3,4,3
28717576,4,0,5
28717576,5,0,1
28717576,6,0,0
28717576,7,0,0
28717576,8,2,0
28717576,9,3,3
28717548,1,3,4
28717548,2,0,1
28717548,3,0,0
28717548,4,0,4
28717548,5,0,5
28717548,6,0,0
28717548,7,0,1
28717577,1,2,0
28717577,2,0,0
28717577,3,3,2
28717577,4,0,0
28717577,5,2,3
28717577,6,5,0
28717577,7,5,0
28717577,8,0,2
28717549,1,1,3
28717549,2,3,0
28717549,3,2,3
28717549,4,3,0
28717549,5,0,5
28717549,6,0,0
28717549,7,5,1
28717549,8,0,0
28717549,9,0,0
28717626,1,1,1
28717626,2,0,0
28717626,3,0,0
28717626,4,4,1
28717626,5,0,5
28717626,6,0,0
28717626,7,0,5
28717626,8,1,1
28717602,1,2,5
28717602,2,0,0
28717602,3,5,0
28717602,4,2,4
28717602,5,4,3
28717602,6,0,5
28717602,7,1,8
28717551,1,1,3
28717551,2,0,0
28717551,3,2,0
28717551,4,2,1
28717551,5,4,1
28717551,6,1,0
28717551,7,5,0
28717551,8,0,0
28717578,1,2,5
28717578,2,1,0
28717578,3,1,1
28717578,4,0,2
28717578,5,0,3
28717578,6,3,0
28717578,7,0,3
28717578,8,1,5
28717578,9,2,3
28717579,1,3,4
28717579,2,0,0
28717579,3,4,1
28717579,4,1,2
28717579,5,3,5
28717579,6,5,0
28717579,7,3,3
28717579,8,0,5
28717552,1,1,3
28717552,2,0,4
28717552,3,0,5
28717552,4,0,0
28717552,5,1,2
28717552,6,0,5
28717552,7,0,0
28717552,8,0,2
28717603,1,0,0
28717603,2,3,0
28717603,3,0,4
28717603,4,0,0
28717603,5,0,3
28717603,6,1,5
28717603,7,0,5
28717603,8,0,1
28717553,1,0,2
28717553,2,3,0
28717553,3,0,2
28717553,4,5,0
28717553,5,4,1
28717553,6,5,0
28717553,7,5,4
28717553,8,0,0
28717586,1,0,2
28717586,2,1,1
28717586,3,3,0
28717586,4,0,0
28717586,5,2,0
28717586,6,0,5
28717586,7,3,3
28717586,8,1,2
28717554,1,1,0
28717554,2,0,0
28717554,3,2,3
28717554,4,3,0
28717554,5,2,4
28717554,6,0,0
28717554,7,1,5
28717554,8,0,2
29171166,1,2,0
29171166,2,0,0
29171166,3,0,0
29171166,4,1,4
29171166,5,2,2
29171166,6,2,3
29171166,7,1,1
29171166,8,4,0
29171166,9,0,5
29171146,1,3,5
29171146,2,4,0
29171146,3,0,1
29171146,4,1,0
29171146,5,3,1
29171146,6,5,2
29171146,7,5,0
29171146,8,0,2
29171146,9,0,2
29171177,1,0,5
29171177,2,0,1
29171177,3,0,0
29171177,4,0,0
29171177,5,3,0
29171177,6,4,0
29171177,7,2,0
29171177,8,0,1
29171177,9,0,0
29414750,1,2,0
29414750,2,0,0
29414750,3,0,0
29414750,4,0,0
29414750,5,0,0
29414750,6,0,2
29414750,7,2,0
29414750,8,4,1
29414751,1,2,5
29414751,2,0,0
29414751,3,0,0
29414751,4,2,1
29414751,5,1,0
29414751,6,5,0
29414751,7,3,5
29414751,8,0,4
29414802,1,2,2
29414802,2,0,1
29414802,3,0,5
29414802,4,1,3
29414802,5,3,3
29414802,6,0,2
29414802,7,4,2
29414803,1,1,0
29414803,2,0,0
29414803,3,2,1
29414803,4,3,0
29414803,5,5,4
29414803,6,0,0
29414764,1,0,1
29414764,2,5,0
29414764,3,2,0
29414764,4,0,1
29414764,5,0,3
29414764,6,5,4
29414764,7,0,0
29414764,8,1,0
29414763,1,0,0
29414763,2,2,0
29414763,3,3,2
29414763,4,0,0
29414763,5,4,0
29414763,6,3,0
29414763,7,1,2
29414763,8,2,0
29414763,9,0,0
29414766,1,0,2
29414766,2,0,1
29414766,3,0,5
29414766,4,0,0
29414766,5,0,5
29414766,6,0,3
29414765,1,1,1
29414765,2,0,1
29414765,3,1,1
29414765,4,2,1
29414765,5,1,3
29414765,6,2,0
29414765,7,0,0
29414765,8,1,4
29414765,9,1,2
29414769,1,2,1
29414769,2,0,0
29414769,3,2,0
29414769,4,0,2
29414769,5,0,4
29414769,6,0,3
29414769,7,1,5
29414769,8,0,0
29414769,9,0,3
29414770,1,1,1
29414770,2,4,0
29414770,3,0,0
29414770,4,1,3
29414770,5,0,1
29414770,6,2,5
29414770,7,2,1
29414770,8,0,0
29414770,9,3,1
29414772,1,1,2
29414772,2,3,0
29414772,3,0,3
29414772,4,0,5
29414772,5,0,0
29414772,6,2,0
29414772,7,0,4
29414772,8,0,1
29414772,9,2,0
29414771,1,0,1
29414771,2,0,4
29414771,3,0,0
29414771,4,0,0
29414771,5,1,0
29414771,6,1,1
29414771,7,2,2
29414771,8,1,0
29414771,9,0,4
29414774,1,2,2
29414774,2,0,0
29414774,3,0,3
29414774,4,2,0
29414774,5,0,1
29414774,6,1,6
29414773,1,1,5
29414773,2,2,4
29414773,3,3,0
29414773,4,5,0
29414773,5,0,3
29414773,6,0,0
29414773,7,6,4
29414775,1,0,4
29414775,2,1,5
29414775,3,2,0
29414775,4,0,0
29414775,5,0,3
29414775,6,0,0
29414775,7,4,0
29414775,8,5,1
29414775,9,0,1
29414816,1,3,0
29414816,2,0,1
29414816,3,2,0
29414816,4,2,0
29414816,5,0,0
29414816,6,1,0
29414816,7,2,0
29414816,8,2,0
29414816,9,0,4
29414778,1,1,5
29414778,2,0,3
29414778,3,2,0
29414778,4,4,5
29414778,5,4,0
